"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ubn1",1345.16176175928,-0.790335937608606,0.142302969161846,-5.55389632601221,2.79371214320962e-08,0.000427689392003961
"Nkx6-3",45.7363160563974,-3.23561750209563,0.688863924832849,-4.69703432776038,2.63966101958176e-06,0.0146094226514704
"Baiap2l1",3311.22828299081,-7.10638038449269,1.52607124985439,-4.65665045794601,3.21395424082683e-06,0.0146094226514704
"Ngfr",1951.90867392637,-0.884601386351409,0.191426818609815,-4.62109433137732,3.81721148382531e-06,0.0146094226514704
"Aldoc",691.808630809981,-1.46601298358984,0.338616334895817,-4.32942192242701,1.49501262255969e-05,0.0457742964775325
"Sord",2291.11654605388,1.2596371307096,0.298720340125061,4.21677723780793,2.47818564116759e-05,0.063230906634391
"Suclg2",2293.07813602638,0.760259760228965,0.184459436793355,4.121555250549,3.76323189873689e-05,0.0823018816253757
"Prdx6",16595.0170245009,0.540153977457316,0.133706745725364,4.03984088107868,5.34874767442862e-05,0.102354972684785
"Zfp605",674.690725810849,-1.48204605785386,0.396785706058497,-3.73512965619626,0.000187618498604789,0.319139066126746
"Cplx1",151.689204631096,-2.75666463918681,0.753004949495164,-3.66088515226222,0.000251345412803818,0.384598477731912
"D930015E06Rik",1721.38775365301,-0.497626919833664,0.137343571313419,-3.62322688331787,0.000290950398522631,0.384598477731912
"Slc38a5",54.614908501767,-2.39544993467641,0.663223330207995,-3.6118300210054,0.000304043838872538,0.384598477731912
"Gabarapl2",5294.43405882104,0.813405653832731,0.226690511636938,3.58817688468346,0.000332998349406386,0.384598477731912
"Slc25a24",99.8102203740795,0.994618829442432,0.279292861555324,3.56120390583421,0.000369158250900762,0.384598477731912
"Cald1",1151.03933055044,1.41675334756126,0.399953838213173,3.54229216524267,0.000396665865916031,0.384598477731912
"Fgf17",444.476142969141,-1.98587311804636,0.561172144429659,-3.53879489165429,0.00040195804061079,0.384598477731912
"Car5b",121.405072378093,-3.3070650408076,0.94362214699034,-3.50464966443974,0.000457208500817215,0.396490036451941
"Dhcr7",3193.11243037401,-0.653248492728603,0.186670711462547,-3.49946966832913,0.000466184640155134,0.396490036451941
"Frem2",1458.93759022995,-4.53487119676594,1.30126323020161,-3.4849760536639,0.000492181086363041,0.396568434270095
"Tgfbr3",219.873411837259,1.20678191073753,0.352523548418945,3.42326609427911,0.000618734764274841,0.473610525314177
"Abhd5",503.848919630254,1.03636945871352,0.305402511030753,3.39345428174674,0.000690170779379488,0.503134498167646
"Tmem180",1486.86899242511,-0.742897689710734,0.220587666695095,-3.36781154105772,0.000757673688900805,0.527237568335565
"Igf2",389.280948937484,-1.9889910246514,0.592771268513114,-3.35541064539196,0.000792472529007204,0.527476606372665
"E230016K23Rik",9.88604324202111,4.67899253721707,1.40284683957031,3.33535522569965,0.000851904995600408,0.54340889906861
"Lin28b",704.906505476879,-1.03118212089412,0.311200061934186,-3.31356656706643,0.000921141775026087,0.556659394886064
"Rnf144b",72.9790644450949,-1.11605936408083,0.338894504403535,-3.29323535666395,0.000990415303435341,0.556659394886064
