"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ubn1",1345.16176175928,-0.790335937608606,0.142302969161846,-5.55389632601221,2.79371214320962e-08,0.000427689392003961
"Nkx6-3",45.7363160563974,-3.23561750209563,0.688863924832849,-4.69703432776038,2.63966101958176e-06,0.0146094226514704
"Baiap2l1",3311.22828299081,-7.10638038449269,1.52607124985439,-4.65665045794601,3.21395424082683e-06,0.0146094226514704
"Ngfr",1951.90867392637,-0.884601386351409,0.191426818609815,-4.62109433137732,3.81721148382531e-06,0.0146094226514704
"Aldoc",691.808630809981,-1.46601298358984,0.338616334895817,-4.32942192242701,1.49501262255969e-05,0.0457742964775325
